Volume,SNR,Volunteer,Inplane
12.0,7.192847814489743,1,2x2
20.0,8.243722990737751,1,2x2
32.0,11.570337607377375,1,2x2
18.75,7.4573848204213755,1,2.5x2.5
31.25,8.536407873603846,1,2.5x2.5
50.0,10.994363308219304,1,2.5x2.5
31.5,6.687939815518353,1,3x3
49.5,8.1096270186399,1,3x3
72.0,11.143673575289474,1,3x3
12.0,7.056249483441332,2,2x2
20.0,9.130537125770575,2,2x2
32.0,9.390551629838034,2,2x2
18.75,8.04472808128293,2,2.5x2.5
31.25,9.943778614363424,2,2.5x2.5
50.0,10.591566983773992,2,2.5x2.5
31.5,8.274430910904295,2,3x3
49.5,9.507412301887358,2,3x3
72.0,8.446506077496222,2,3x3
12.0,7.50825032319837,3,2x2
20.0,8.405117716338957,3,2x2
32.0,10.96674905048049,3,2x2
18.75,9.568636648110429,3,2.5x2.5
31.25,10.315447832749111,3,2.5x2.5
50.0,13.104761344741163,3,2.5x2.5
31.5,7.5238488615965045,3,3x3
49.5,7.544663718815194,3,3x3
72.0,9.065060746637839,3,3x3
12.0,6.435534936163608,4,2x2
20.0,7.893591425537354,4,2x2
32.0,8.912356212336045,4,2x2
18.75,7.218977660376186,4,2.5x2.5
31.25,6.650071225651587,4,2.5x2.5
50.0,10.35659330844003,4,2.5x2.5
31.5,7.18714328779097,4,3x3
49.5,7.638191828119466,4,3x3
72.0,8.435799883826082,4,3x3
12.0,8.688355478656346,5,2x2
20.0,9.052355390083529,5,2x2
32.0,8.90981668128567,5,2x2
18.75,8.282198083739514,5,2.5x2.5
31.25,8.733074643320855,5,2.5x2.5
50.0,8.765891759807692,5,2.5x2.5
31.5,8.058595724474806,5,3x3
49.5,8.199605079058527,5,3x3
72.0,8.906219264267781,5,3x3
12.0,8.989480527747425,6,2x2
20.0,9.563509065270376,6,2x2
32.0,12.73369466141657,6,2x2
18.75,8.565463622224883,6,2.5x2.5
31.25,10.124739619298563,6,2.5x2.5
50.0,9.54022988826755,6,2.5x2.5
31.5,11.914128721789961,6,3x3
49.5,10.219822458607762,6,3x3
72.0,11.523384446860483,6,3x3
12.0,7.454807707879647,7,2x2
20.0,9.336206681995765,7,2x2
32.0,9.972411488023775,7,2x2
18.75,7.367695138563649,7,2.5x2.5
31.25,9.099414532941406,7,2.5x2.5
50.0,11.767851983096646,7,2.5x2.5
31.5,7.1581890657455105,7,3x3
49.5,8.713449386250762,7,3x3
72.0,8.243073546745505,7,3x3
12.0,6.974899761025581,8,2x2
20.0,7.966439950843749,8,2x2
32.0,8.499289329310818,8,2x2
18.75,7.025544450853153,8,2.5x2.5
31.25,8.615817448342963,8,2.5x2.5
50.0,9.379676682267785,8,2.5x2.5
31.5,8.878729535826839,8,3x3
49.5,7.695090010884634,8,3x3
72.0,8.380153163341243,8,3x3
12.0,7.193634773287724,9,2x2
20.0,4.529933533476034,9,2x2
32.0,9.615007890359179,9,2x2
18.75,6.6729960442065455,9,2.5x2.5
31.25,8.351350938047963,9,2.5x2.5
50.0,10.004539752853331,9,2.5x2.5
31.5,8.802896505162323,9,3x3
49.5,9.958900642826702,9,3x3
72.0,9.68113979982121,9,3x3
12.0,7.769677881781634,10,2x2
20.0,9.883991197654428,10,2x2
32.0,8.728158911841952,10,2x2
18.75,7.10618612511917,10,2.5x2.5
31.25,10.598303479725962,10,2.5x2.5
50.0,11.819882975482509,10,2.5x2.5
31.5,8.965331204893044,10,3x3
49.5,11.268226245811551,10,3x3
72.0,12.545186672130399,10,3x3
12.0,6.347848541904391,11,2x2
20.0,7.940000734464297,11,2x2
32.0,9.061471105719415,11,2x2
18.75,7.542007651850422,11,2.5x2.5
31.25,6.408233619935898,11,2.5x2.5
50.0,8.405011282602397,11,2.5x2.5
31.5,7.119153828156,11,3x3
49.5,8.623981689363763,11,3x3
72.0,8.88832283072213,11,3x3
